Characteristic,Number of persons (in thousands),Average weekly hours teleworked or worked at home for pay,Average weekly hours worked,Hours teleworked or worked at home for pay as a percent of hours worked2,Number of persons (in thousands),Average weekly hours teleworked or worked at home for pay,Average weekly hours worked,Hours teleworked or worked at home for pay as a percent of hours worked2
"Total, 16 years and over",157329,6.3,38.6,16.4,37340,26.7,40.1,66.6
    16 to 24 years,18851,1.5,31.4,4.8,1439,19.6,34.5,57
       16 to 19 years,5204,0.5,23.4,2,175,14.1,21,67
       20 to 24 years,13647,1.9,34.4,5.5,1265,20.4,36.3,56.2
    25 to 54 years,101798,7.2,40.2,17.8,26734,27.2,41,66.5
       25 to 34 years,34573,6.4,39.4,16.3,8301,26.8,40.2,66.6
       35 to 44 years,35738,7.8,40.3,19.3,10051,27.6,40.9,67.5
       45 to 54 years,31487,7.3,40.9,17.8,8382,27.3,41.9,65.1
    55 years and over,36680,6.5,37.8,17.3,9167,26.1,38.3,68.2
       55 to 64 years,25614,6.9,39.8,17.3,6382,27.6,40.5,68.2
       65 years and over,11066,5.7,33.2,17.2,2785,22.7,33.3,68.3
"Men, 16 years and over",83471,5.6,40.5,13.9,17784,26.4,41.7,63.4
    16 to 24 years,9612,1.4,33.5,4.1,697,18.8,34.2,54.9
    25 to 54 years,54227,6.3,42.1,14.9,12618,27,42.7,63.3
       25 to 34 years,18486,5.4,41.2,13.2,3759,26.7,41.8,63.8
       35 to 44 years,19119,7,42.3,16.4,4867,27.3,42.4,64.4
       45 to 54 years,16622,6.5,42.8,15.1,3992,27,43.9,61.4
    55 years and over,19632,5.9,39.7,14.9,4468,25.9,39.9,65
       55 to 64 years,13646,6,41.7,14.4,2982,27.5,42.4,64.9
       65 years and over,5987,5.6,35,16.1,1487,22.6,34.7,65.3
"Women, 16 years and over",73858,7.1,36.3,19.6,19556,26.9,38.6,69.6
    16 to 24 years,9239,1.6,29.1,5.6,742,20.5,34.7,59
    25 to 54 years,47571,8.1,38,21.4,14116,27.4,39.5,69.5
       25 to 34 years,16087,7.6,37.3,20.3,4542,26.8,38.8,69.1
       35 to 44 years,16619,8.7,37.9,22.9,5184,27.8,39.5,70.5
       45 to 54 years,14865,8.2,38.7,21,4390,27.6,40.1,68.9
    55 years and over,17048,7.3,35.6,20.4,4698,26.4,36.9,71.5
       55 to 64 years,11968,7.9,37.6,21,3400,27.7,38.8,71.3
       65 years and over,5079,5.8,31.1,18.8,1298,22.8,31.7,72.1
White,120060,6.3,38.6,16.2,28597,26.3,40.1,65.6
    Men,64762,5.6,40.7,13.7,13813,26.2,41.8,62.7
    Women,55298,7.1,36,19.6,14784,26.4,38.5,68.6
Black or African American,20284,5.3,38.9,13.6,3650,29.4,40.9,71.9
    Men,9864,3.9,40.2,9.8,1392,28,41.9,66.8
    Women,10420,6.6,37.7,17.4,2257,30.3,40.3,75.2
Asian,10771,9.8,38.9,25.2,3867,27.3,40,68.1
    Men,5647,10,40.3,24.8,2068,27.3,41.4,66
    Women,5124,9.6,37.3,25.6,1799,27.2,38.5,70.7
Hispanic or Latino ethnicity,30773,3.2,37.9,8.4,3795,25.8,39.5,65.3
    Men,17339,2.4,39.8,6.1,1695,24.9,41.4,60
    Women,13434,4.1,35.5,11.7,2101,26.5,37.9,70
With a disability,7164,6.9,35.5,19.3,1781,27.6,38.6,71.5
With no disability,150165,6.3,38.7,16.3,35559,26.6,40.2,66.3
Foreign born,30461,5.2,38.8,13.4,5854,27,40,67.7
Native born,126868,6.6,38.5,17.2,31486,26.6,40.1,66.3
"Married, spouse present",81483,7.6,39.8,19.1,23328,26.5,40.1,66.1
"Widowed, divorced, or separated3",22461,6,38.7,15.6,4881,27.8,40.3,69.1
Never married,53384,4.5,36.6,12.3,9132,26.4,39.8,66.3
With own children under 18,48827,7.2,40.1,18,13094,26.9,40.6,66.2
With no own children under 18,108502,5.9,37.9,15.7,24246,26.6,39.8,66.7
"Total, 25 years and over",138478,7,39.5,17.7,35901,27,40.3,66.9
    Less than a high school diploma,8527,0.9,38.1,2.4,322,24.3,38.7,62.8
"    High school graduates, no college4",33958,2.8,39.2,7.1,3298,28.7,39.5,72.7
    Some college or associate degree,33726,5.5,39.3,14,6531,28.3,40.2,70.4
    Bachelor's degree and higher5,62267,10.9,40,27.3,25749,26.4,40.4,65.3
       Bachelor's degree only,37710,10.6,39.8,26.7,14795,27.1,40.2,67.2
       Advanced degree,24557,11.4,40.5,28.2,10954,25.6,40.7,62.7
