Characteristic,Total,Teleworked some hours1,Teleworked all hours,Total,Teleworked some hours1,Teleworked all hours,Total,Teleworked some hours1,Teleworked all hours
"Total, 16 years and over",37340,19819,17521,100,53.1,46.9,26.7,17.4,37.2
    Full-time workers,32816,18172,14644,100,55.4,44.6,28.3,18.1,40.9
    Part-time workers,4524,1648,2876,100,36.4,63.6,15.2,9.7,18.4
"Management, professional, and related occupations",27102,15042,12060,100,55.5,44.5,26.5,17.4,37.9
"    Management, business, and financial operations occupations",13977,7488,6489,100,53.6,46.4,27.8,18.4,38.7
       Management occupations,8317,4856,3461,100,58.4,41.6,26.8,17.9,39.4
       Business and financial operations occupations,5660,2632,3028,100,46.5,53.5,29.3,19.5,37.8
    Professional and related occupations,13125,7554,5571,100,57.6,42.4,25.1,16.4,37
       Computer and mathematical occupations,4441,1926,2515,100,43.4,56.6,30.6,18.7,39.7
       Architecture and engineering occupations,1347,884,463,100,65.7,34.3,24.6,17.4,38.4
"       Life, physical, and social science occupations",744,490,254,100,65.9,34.1,21.8,15.9,33.1
       Community and social services occupations,1073,793,280,100,73.9,26.1,19.9,15.2,33.1
       Legal occupations,1056,691,364,100,65.5,34.5,24.9,17.2,39.4
"       Education, training, and library occupations",1438,1111,327,100,77.3,22.7,17.5,13.3,32
"       Arts, design, entertainment, sports, and media occupations",1662,793,869,100,47.7,52.3,25.3,17,32.8
       Healthcare practitioners and technical occupations,1364,865,499,100,63.4,36.6,21.8,14.3,34.7
Service occupations,1506,676,830,100,44.9,55.1,26.6,15.7,35.4
    Healthcare support occupations,507,118,390,100,23.2,76.8,33.7,27.2,35.7
    Protective service occupations,230,157,73,100,68.2,31.8,22.1,13.2,-
    Food preparation and serving related occupations,133,90,43,100,67.6,32.4,19.6,14.4,-
    Building and grounds cleaning and maintenance occupations,205,169,36,100,82.3,17.7,16.2,12.1,-
    Personal care and service occupations,430,142,288,100,33.1,66.9,27.6,14.2,34.3
Sales and office occupations,7601,3475,4126,100,45.7,54.3,27.6,18,35.8
     Sales and related occupations,3357,1726,1631,100,51.4,48.6,26.9,17.9,36.6
