,,Weekly hours teleworked or worked at home for pay,,,,,,,,,,,,,,,,,
Characteristic,"Total, persons who teleworked or worked at home for pay","Up to 8 
hours","9 to 16 
hours","17 to 24 
hours","25 to 32 
hours","33 to 39 
hours",Total,40 hours,"41 hours 
or more",Average weekly hours teleworked,Total,"Up to 8 
hours","9 to 16 
hours","17 to 24 
hours","25 to 32 
hours","33 to 39 
hours",Total,40 hours,"41 hours 
or more"
"Total, 16 years and over",37340,6106,7215,5226,3890,1284,13620,9903,3716,26.7,100,16.4,19.3,14,10.4,3.4,36.5,26.5,10
    16 to 24 years,1439,445,333,227,108,33,292,271,20,19.6,100,30.9,23.2,15.8,7.5,2.3,20.3,18.9,1.4
       16 to 19 years,175,86,28,33,3,9,17,12,5,14.1,100,49.2,15.8,18.9,1.5,5.1,9.5,6.8,2.7
       20 to 24 years,1265,359,306,194,106,25,275,259,16,20.4,100,28.4,24.2,15.4,8.4,1.9,21.8,20.5,1.2
    25 to 54 years,26734,4071,5141,3672,2697,904,10249,7509,2740,27.2,100,15.2,19.2,13.7,10.1,3.4,38.3,28.1,10.2
       25 to 34 years,8301,1303,1627,1161,857,250,3103,2507,596,26.8,100,15.7,19.6,14,10.3,3,37.4,30.2,7.2
       35 to 44 years,10051,1538,1812,1353,1028,343,3977,2851,1126,27.6,100,15.3,18,13.5,10.2,3.4,39.6,28.4,11.2
       45 to 54 years,8382,1231,1703,1158,812,311,3168,2151,1018,27.3,100,14.7,20.3,13.8,9.7,3.7,37.8,25.7,12.1
    55 years and over,9167,1590,1741,1327,1084,347,3079,2123,956,26.1,100,17.3,19,14.5,11.8,3.8,33.6,23.2,10.4
       55 to 64 years,6382,936,1149,878,788,239,2392,1640,751,27.6,100,14.7,18,13.8,12.3,3.7,37.5,25.7,11.8
       65 years and over,2785,654,592,448,296,108,687,482,205,22.7,100,23.5,21.3,16.1,10.6,3.9,24.7,17.3,7.4
"Men, 16 years and over",17784,2998,3623,2493,1803,504,6362,4387,1974,26.4,100,16.9,20.4,14,10.1,2.8,35.8,24.7,11.1
    16 to 24 years,697,224,158,119,67,14,116,108,8,18.8,100,32.1,22.6,17,9.6,2.1,16.6,15.4,1.1
    25 to 54 years,12618,1965,2610,1723,1241,345,4734,3279,1455,27,100,15.6,20.7,13.7,9.8,2.7,37.5,26,11.5
       25 to 34 years,3759,622,816,467,316,117,1420,1071,349,26.7,100,16.6,21.7,12.4,8.4,3.1,37.8,28.5,9.3
       35 to 44 years,4867,744,953,660,515,127,1867,1287,580,27.3,100,15.3,19.6,13.6,10.6,2.6,38.4,26.4,11.9
       45 to 54 years,3992,598,841,596,410,101,1447,921,526,27,100,15,21.1,14.9,10.3,2.5,36.3,23.1,13.2
    55 years and over,4468,810,856,651,495,145,1512,1001,511,25.9,100,18.1,19.2,14.6,11.1,3.2,33.8,22.4,11.4
       55 to 64 years,2982,466,543,415,341,94,1124,737,386,27.5,100,15.6,18.2,13.9,11.4,3.2,37.7,24.7,13
       65 years and over,1487,344,313,236,154,51,388,263,125,22.6,100,23.2,21,15.9,10.4,3.4,26.1,17.7,8.4
"Women, 16 years and over",19556,3108,3592,2733,2086,780,7258,5516,1742,26.9,100,15.9,18.4,14,10.7,4,37.1,28.2,8.9
    16 to 24 years,742,221,175,109,41,19,176,164,13,20.5,100,29.8,23.6,14.7,5.6,2.6,23.7,22.1,1.7
    25 to 54 years,14116,2107,2531,1948,1456,559,5515,4230,1285,27.4,100,14.9,17.9,13.8,10.3,4,39.1,30,9.1
       25 to 34 years,4542,680,810,694,541,133,1684,1436,247,26.8,100,15,17.8,15.3,11.9,2.9,37.1,31.6,5.4
       35 to 44 years,5184,794,859,692,513,216,2110,1564,546,27.8,100,15.3,16.6,13.4,9.9,4.2,40.7,30.2,10.5
       45 to 54 years,4390,632,862,562,402,210,1721,1230,491,27.6,100,14.4,19.6,12.8,9.2,4.8,39.2,28,11.2
    55 years and over,4698,780,885,676,589,202,1567,1122,445,26.4,100,16.6,18.8,14.4,12.5,4.3,33.4,23.9,9.5
       55 to 64 years,3400,471,606,464,447,144,1268,903,365,27.7,100,13.8,17.8,13.6,13.2,4.2,37.3,26.6,10.7
       65 years and over,1298,309,279,212,141,57,299,219,80,22.8,100,23.8,21.5,16.3,10.9,4.4,23,16.9,6.2
White,28597,5007,5494,4036,2929,1043,10088,7075,3013,26.3,100,17.5,19.2,14.1,10.2,3.6,35.3,24.7,10.5
    Men,13813,2465,2720,1991,1395,431,4811,3188,1623,26.2,100,17.8,19.7,14.4,10.1,3.1,34.8,23.1,11.7
    Women,14784,2542,2773,2046,1534,612,5277,3887,1390,26.4,100,17.2,18.8,13.8,10.4,4.1,35.7,26.3,9.4
Black or African American,3650,371,630,520,435,110,1584,1270,314,29.4,100,10.2,17.3,14.2,11.9,3,43.4,34.8,8.6
    Men,1392,185,272,203,156,13,563,415,148,28,100,13.3,19.5,14.6,11.2,0.9,40.4,29.8,10.6
    Women,2257,186,358,316,279,97,1021,855,167,30.3,100,8.2,15.9,14,12.3,4.3,45.3,37.9,7.4
Asian,3867,465,913,507,401,88,1493,1229,264,27.3,100,12,23.6,13.1,10.4,2.3,38.6,31.8,6.8
