,,Weekly hours teleworked or worked at home for pay,,,,,,,,,,,,,,,,,
Characteristic,"Total, persons who teleworked or worked at home for pay","Up to 8 
hours","9 to 16 
hours","17 to 24 
hours","25 to 32 
hours","33 to 39 
hours",Total,40 hours,"41 hours 
or more",Average weekly hours teleworked,Total,"Up to 8 
hours","9 to 16 
hours","17 to 24 
hours","25 to 32 
hours","33 to 39 
hours",Total,40 hours,"41 hours 
or more"
"Total, 16 years and over",37340,6106,7215,5226,3890,1284,13620,9903,3716,26.7,100,16.4,19.3,14,10.4,3.4,36.5,26.5,10
    Full-time workers,32816,4756,5943,4210,3125,1218,13564,9873,3691,28.3,100,14.5,18.1,12.8,9.5,3.7,41.3,30.1,11.2
    Part-time workers,4524,1350,1272,1016,764,66,56,31,25,15.2,100,29.8,28.1,22.5,16.9,1.5,1.2,0.7,0.6
"Management, professional, and related occupations",27102,4433,5461,3859,2709,937,9704,6991,2712,26.5,100,16.4,20.1,14.2,10,3.5,35.8,25.8,10
"    Management, business, and financial operations occupations",13977,2015,2658,1952,1424,499,5429,3801,1629,27.8,100,14.4,19,14,10.2,3.6,38.8,27.2,11.7
       Management occupations,8317,1398,1637,1253,772,295,2962,1924,1038,26.8,100,16.8,19.7,15.1,9.3,3.5,35.6,23.1,12.5
       Business and financial operations occupations,5660,617,1021,699,652,204,2467,1877,591,29.3,100,10.9,18,12.3,11.5,3.6,43.6,33.2,10.4
    Professional and related occupations,13125,2418,2803,1907,1285,438,4274,3191,1084,25.1,100,18.4,21.4,14.5,9.8,3.3,32.6,24.3,8.3
       Computer and mathematical occupations,4441,413,773,513,443,117,2182,1700,483,30.6,100,9.3,17.4,11.6,10,2.6,49.1,38.3,10.9
       Architecture and engineering occupations,1347,249,289,259,145,42,363,218,144,24.6,100,18.5,21.5,19.2,10.7,3.1,26.9,16.2,10.7
"       Life, physical, and social science occupations",744,180,174,129,78,34,150,115,35,21.8,100,24.2,23.4,17.3,10.4,4.6,20.2,15.5,4.7
       Community and social services occupations,1073,276,295,169,97,54,183,157,25,19.9,100,25.7,27.4,15.8,9.1,5,17,14.7,2.4
       Legal occupations,1056,147,292,170,114,47,286,183,103,24.9,100,13.9,27.7,16.1,10.8,4.5,27.1,17.3,9.7
"       Education, training, and library occupations",1438,492,383,206,122,11,223,158,65,17.5,100,34.2,26.6,14.4,8.5,0.8,15.5,11,4.5
"       Arts, design, entertainment, sports, and media occupations",1662,281,327,279,170,87,518,359,159,25.3,100,16.9,19.7,16.8,10.2,5.2,31.2,21.6,9.6
       Healthcare practitioners and technical occupations,1364,381,270,181,117,46,370,300,70,21.8,100,27.9,19.8,13.3,8.5,3.4,27.1,22,5.1
Service occupations,1506,298,277,194,147,68,521,337,184,26.6,100,19.8,18.4,12.9,9.8,4.5,34.6,22.4,12.2
    Healthcare support occupations,507,46,68,68,64,27,233,126,107,33.7,100,9.1,13.5,13.5,12.7,5.3,45.9,24.8,21.1
    Protective service occupations,230,85,35,19,15,-,76,59,17,22.1,100,36.9,15.2,8.4,6.4,-,33.1,25.7,7.4
    Food preparation and serving related occupations,133,25,31,42,16,7,13,12,,19.6,100,18.6,23.6,31.4,11.8,4.9,9.6,9.3,0.4
    Building and grounds cleaning and maintenance occupations,205,67,70,23,14,-,31,23,8,16.2,100,32.7,34.2,11.2,6.9,-,15,11,4
    Personal care and service occupations,430,75,72,42,38,35,169,117,51,27.6,100,17.4,16.8,9.7,8.9,8,39.2,27.3,12
Sales and office occupations,7601,1092,1295,1028,897,251,3038,2332,706,27.6,100,14.4,17,13.5,11.8,3.3,40,30.7,9.3
     Sales and related occupations,3357,495,627,470,408,80,1278,931,347,26.9,100,14.7,18.7,14,12.1,2.4,38.1,27.7,10.3
    Office and administrative support occupations,4243,597,667,558,489,172,1760,1402,359,28.2,100,14.1,15.7,13.1,11.5,4,41.5,33,8.5
"Natural resources, construction, and maintenance occupations",526,150,102,59,55,8,152,93,60,23.1,100,28.6,19.3,11.1,10.4,1.6,29,17.6,11.4
"    Farming, fishing, and forestry occupations",48,23,3,1,6,3,14,,13,-,100,-,-,-,-,-,-,-,-
    Construction and extraction occupations,244,69,62,28,24,6,56,26,29,22.1,100,28.2,25.3,11.5,9.8,2.3,22.8,10.8,12
"    Installation, maintenance, and repair occupations",233,58,37,30,25,-,83,66,17,23.8,100,25.1,16,12.8,10.7,-,35.5,28.2,7.3
"Production, transportation, and material moving occupations",606,134,81,86,82,19,204,150,55,25.5,100,22.1,13.4,14.1,13.5,3.2,33.7,24.7,9
    Production occupations,349,70,47,57,55,8,112,76,35,25.9,100,20.1,13.5,16.3,15.8,2.3,32,21.8,10.2
    Transportation and material moving occupations,257,64,34,29,27,11,93,73,19,24.8,100,24.7,13.3,11.1,10.4,4.3,36.1,28.6,7.5
Agriculture and related industries,305,58,51,15,31,19,131,48,82,33.6,100,19,16.7,5,10,6.4,42.9,15.8,27
Nonagricultural industries,37035,6048,7164,5210,3859,1264,13489,9855,3634,26.6,100,16.3,19.3,14.1,10.4,3.4,36.4,26.6,9.8
"    Mining, quarrying, and oil and gas extraction",93,18,33,13,7,,23,14,9,23.8,100,19.1,35.3,13.4,7.5,0.4,24.3,14.9,9.4
