Total_Persons_At_Work,Total,Teleworked_Some_Hours,Teleworked_All_Hours,Did_Not_Telework,Total_Persons_At_Work_Percent,Total_Teleworked_Worked_Home_Percent,Teleworked_Some_Hours_Percent,Teleworked_All_Hours_Percent,Did_Not_Telework_Percent,Teleworked_Hours_Thousands,Avg_Weekly_Hours_Teleworked,Avg_Weekly_Hours_Worked,Telework_Hours_Percent,Telework_Hours_Percent_1,"Employment_Status_Occupation_Management, professional, and related occupations","Employment_Status_Occupation_Natural resources, construction, and maintenance occupations",Employment_Status_Occupation_Nonagricultural industries,"Employment_Status_Occupation_Production, transportation, and material moving occupations",Employment_Status_Occupation_Sales and office occupations,Employment_Status_Occupation_Self-employed workers,Employment_Status_Occupation_Service occupations,"Employment_Status_Occupation_Total, 16 years and over","Employment_Status_Occupation_Wage and salary workers, excluding incorporated self-employed",Employment_Status_Occupation_    Building and grounds cleaning and maintenance occupations,Employment_Status_Occupation_    Construction,Employment_Status_Occupation_    Construction and extraction occupations,Employment_Status_Occupation_    Education and health services,"Employment_Status_Occupation_    Farming, fishing, and forestry occupations",Employment_Status_Occupation_    Financial activities,Employment_Status_Occupation_    Food preparation and serving related occupations,Employment_Status_Occupation_    Full-time workers,Employment_Status_Occupation_    Government,Employment_Status_Occupation_    Healthcare support occupations,Employment_Status_Occupation_    Information,"Employment_Status_Occupation_    Installation, maintenance, and repair occupations",Employment_Status_Occupation_    Leisure and hospitality,"Employment_Status_Occupation_    Management, business, and financial operations occupations",Employment_Status_Occupation_    Manufacturing,"Employment_Status_Occupation_    Mining, quarrying, and oil and gas extraction",Employment_Status_Occupation_    Office and administrative support occupations,Employment_Status_Occupation_    Other services,Employment_Status_Occupation_    Part-time workers,Employment_Status_Occupation_    Personal care and service occupations,Employment_Status_Occupation_    Private industries,Employment_Status_Occupation_    Production occupations,Employment_Status_Occupation_    Professional and business services,Employment_Status_Occupation_    Professional and related occupations,Employment_Status_Occupation_    Protective service occupations,Employment_Status_Occupation_    Public administration,"Employment_Status_Occupation_    Self-employed workers, incorporated","Employment_Status_Occupation_    Self-employed workers, unincorporated",Employment_Status_Occupation_    Transportation and material moving occupations,Employment_Status_Occupation_    Transportation and utilities,Employment_Status_Occupation_    Wholesale and retail trade,Employment_Status_Occupation_     Sales and related occupations,Employment_Status_Occupation_       Accommodation and food services,Employment_Status_Occupation_       Architecture and engineering occupations,"Employment_Status_Occupation_       Arts, design, entertainment, sports, and media occupations","Employment_Status_Occupation_       Arts, entertainment, and recreation",Employment_Status_Occupation_       Business and financial operations occupations,Employment_Status_Occupation_       Community and social services occupations,Employment_Status_Occupation_       Computer and mathematical occupations,Employment_Status_Occupation_       Durable goods manufacturing,"Employment_Status_Occupation_       Education, training, and library occupations",Employment_Status_Occupation_       Educational services,Employment_Status_Occupation_       Federal,Employment_Status_Occupation_       Finance and insurance,Employment_Status_Occupation_       Health care and social assistance,Employment_Status_Occupation_       Healthcare practitioners and technical occupations,Employment_Status_Occupation_       Legal occupations,"Employment_Status_Occupation_       Life, physical, and social science occupations",Employment_Status_Occupation_       Local,Employment_Status_Occupation_       Management occupations,"Employment_Status_Occupation_       Management, administrative, and waste services",Employment_Status_Occupation_       Nondurable goods manufacturing,"Employment_Status_Occupation_       Other services, except private households",Employment_Status_Occupation_       Private households,Employment_Status_Occupation_       Professional and technical services,Employment_Status_Occupation_       Real estate and rental and leasing,Employment_Status_Occupation_       Retail trade,Employment_Status_Occupation_       State,Employment_Status_Occupation_       Transportation and warehousing,Employment_Status_Occupation_       Utilities,Employment_Status_Occupation_       Wholesale trade,"Employment_Status_Occupation_          Health services, except hospitals",Employment_Status_Occupation_          Hospitals,Employment_Status_Occupation_          Social assistance
157329,37340,19819,17521,119989,100,23.7,12.6,11.1,76.3,3.9946423913412263,-0.008056510146933931,0.03633181345959177,0.007930709546333074,0.3930079875122638,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
130756,32816,18172,14644,97939,100,25.1,13.9,11.2,74.9,3.22009679172344,0.15640742112840356,1.0659908672505272,0.04099394934513028,0.3219014078645687,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26573,4524,1648,2876,22049,100,17.0,6.2,10.8,83.0,0.18338719156614405,-0.7687021922953698,-5.083361815112003,-0.3061700685422386,1.4359044890118027,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68917,27102,15042,12060,41815,100,39.3,21.8,17.5,60.7,1.417623403895032,0.834821137639171,0.4367547788227328,0.8097142746671613,0.26264592482482224,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30097,13977,7488,6489,16120,100,46.4,24.9,21.6,53.6,0.28610418599857845,1.3487709228746008,0.9515843057181995,1.2064731522527254,0.4641145671599605,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20567,8317,4856,3461,12250,100,40.4,23.6,16.8,59.6,0.008325253835950853,0.9170531032768398,1.180397428782853,0.7518536050192662,0.0019217994499375452,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9530,5660,2632,3028,3870,100,59.4,27.6,31.8,40.6,-0.3133794758890146,2.273880536298374,0.40815313843965084,2.256231015864531,1.1988825568528167,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38820,13125,7554,5571,25695,100,33.8,19.5,14.4,66.2,0.5403608098448114,0.44421930086024425,0.03633181345959177,0.4708160667294916,0.02562399266583646,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6186,4441,1926,2515,1746,100,71.8,31.1,40.6,28.2,-0.41084985880106356,3.1989901497221473,0.49395805958889666,3.1654701103314493,1.4714577788356502,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3228,1347,884,463,1880,100,41.7,27.4,14.3,58.3,-0.4970691747860638,0.8142631462297538,0.8371777441858738,0.7022587453210709,-0.28250451914084523,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
